TinyGRPO — Step-by-step summary
============================================================
step   mean_r   std_r    acc    fmt     H       KL      loss
   1  0.0744  0.0697  0.03  0.43  4.445  0.0000  0.0000
   2  0.0900  0.0739  0.05  0.40  4.237  0.0176  -0.1217
   3  0.1106  0.1083  0.06  0.48  4.003  0.0771  -0.1268
   4  0.1444  0.0993  0.09  0.57  3.758  0.1711  -0.0893
   5  0.1525  0.0876  0.08  0.71  3.550  0.2887  -0.0211
   6  0.1306  0.0778  0.06  0.74  3.354  0.4017  -0.0203
   7  0.2288  0.1562  0.14  0.85  3.229  0.5166  0.1297
   8  0.2144  0.1271  0.13  0.83  3.093  0.6019  0.1454
   9  0.3744  0.1625  0.29  0.87  2.916  0.7000  0.2648
  10  0.3406  0.1593  0.25  0.91  2.729  0.8490  0.2496
  11  0.4513  0.1699  0.36  0.89  2.457  1.0177  0.1873
  12  0.5913  0.1878  0.50  0.91  2.135  1.2656  0.0781
  13  0.6950  0.1848  0.61  0.89  1.815  1.5667  -0.0454
  14  0.6681  0.1859  0.58  0.87  1.537  1.8638  -0.0897
  15  0.7594  0.1740  0.67  0.91  1.278  2.1180  -0.1445
  16  0.8331  0.1898  0.74  0.89  1.114  2.3564  -0.1214
  17  0.9262  0.1227  0.83  0.95  0.970  2.5026  -0.1227
  18  0.8869  0.1387  0.79  0.93  0.832  2.6369  -0.1414
  19  0.9119  0.1180  0.82  0.93  0.720  2.7645  -0.1376
  20  1.0025  0.0996  0.91  0.96  0.655  2.8651  -0.0808
  21  0.9819  0.1175  0.89  0.94  0.597  2.9237  -0.0905
  22  1.0425  0.0749  0.94  0.99  0.565  2.9757  -0.0549
  23  0.9963  0.1049  0.90  0.96  0.520  3.0057  -0.0829
  24  1.0344  0.0891  0.94  0.97  0.493  3.0464  -0.0569
  25  1.0094  0.1164  0.91  0.97  0.454  3.0702  -0.0686
  26  1.0412  0.0772  0.94  0.97  0.428  3.1063  -0.0549
  27  1.0612  0.0593  0.96  0.99  0.413  3.1300  -0.0396
  28  1.0281  0.0772  0.93  0.97  0.386  3.1436  -0.0681
  29  1.0487  0.0629  0.95  0.99  0.367  3.1672  -0.0528
  30  1.0219  0.1119  0.93  0.97  0.346  3.1854  -0.0599
  31  1.0425  0.0749  0.94  0.99  0.328  3.2038  -0.0549
  32  1.0469  0.0878  0.95  0.97  0.316  3.2207  -0.0437
  33  1.0619  0.0583  0.96  0.99  0.305  3.2308  -0.0396
  34  1.0469  0.0886  0.95  0.97  0.291  3.2416  -0.0437
  35  1.0156  0.0621  0.92  0.97  0.266  3.2535  -0.0859
  36  1.0869  0.0394  0.99  0.99  0.265  3.2758  -0.0131
  37  1.0412  0.0783  0.94  0.97  0.252  3.2767  -0.0549
  38  1.0619  0.0715  0.96  0.99  0.244  3.2889  -0.0350
  39  1.0544  0.0623  0.96  0.98  0.234  3.2959  -0.0462
  40  1.0594  0.0621  0.96  0.97  0.226  3.3049  -0.0396
  41  1.0400  0.0886  0.94  0.96  0.214  3.3112  -0.0503
  42  1.0662  0.0729  0.97  0.97  0.209  3.3215  -0.0284
  43  1.0475  0.0974  0.95  0.97  0.201  3.3250  -0.0426
  44  1.0875  0.0375  0.99  1.00  0.200  3.3321  -0.0131
  45  1.0931  0.0300  0.99  0.99  0.201  3.3331  -0.0065
  46  1.0806  0.0462  0.98  0.99  0.199  3.3321  -0.0197
  47  1.0806  0.0462  0.98  0.99  0.197  3.3344  -0.0197
  48  1.0550  0.0614  0.96  0.99  0.188  3.3366  -0.0462
  49  1.1000  0.0000  1.00  1.00  0.190  3.3443  0.0001
  50  1.0744  0.0513  0.97  0.99  0.187  3.3423  -0.0264
  51  1.0731  0.0679  0.97  0.98  0.184  3.3459  -0.0218
  52  1.0800  0.0477  0.98  0.99  0.182  3.3478  -0.0197
  53  1.0931  0.0300  0.99  0.99  0.183  3.3495  -0.0065
  54  1.0737  0.0526  0.97  0.99  0.179  3.3487  -0.0264
  55  1.0731  0.0538  0.97  0.98  0.176  3.3517  -0.0264
  56  1.0931  0.0300  0.99  0.99  0.177  3.3544  -0.0065
  57  1.0669  0.0575  0.97  0.98  0.172  3.3535  -0.0330
  58  1.0862  0.0412  0.99  0.99  0.171  3.3575  -0.0131
  59  1.0800  0.0477  0.98  0.99  0.170  3.3576  -0.0197
  60  1.0744  0.0513  0.97  0.99  0.166  3.3590  -0.0264
  61  1.0744  0.0513  0.97  0.99  0.163  3.3624  -0.0264
  62  1.0731  0.0538  0.97  0.98  0.160  3.3656  -0.0264
  63  1.0606  0.0602  0.96  0.98  0.154  3.3680  -0.0396
  64  1.0869  0.0394  0.99  0.99  0.154  3.3729  -0.0131
  65  1.0937  0.0272  0.99  1.00  0.154  3.3733  -0.0065
  66  1.0869  0.0394  0.99  0.99  0.154  3.3730  -0.0131
  67  1.0612  0.0713  0.96  0.99  0.149  3.3734  -0.0350
  68  1.0869  0.0394  0.99  0.99  0.148  3.3777  -0.0131
  69  1.0737  0.0682  0.97  0.99  0.146  3.3782  -0.0218
  70  1.0937  0.0272  0.99  1.00  0.147  3.3801  -0.0065
  71  1.0875  0.0375  0.99  1.00  0.146  3.3797  -0.0131
  72  1.0687  0.0541  0.97  1.00  0.142  3.3806  -0.0330
  73  1.0869  0.0394  0.99  0.99  0.141  3.3849  -0.0131
  74  1.0869  0.0572  0.99  0.99  0.142  3.3853  -0.0085
  75  1.1000  0.0000  1.00  1.00  0.143  3.3851  0.0001
  76  1.0931  0.0300  0.99  0.99  0.144  3.3835  -0.0065
  77  1.0869  0.0394  0.99  0.99  0.143  3.3828  -0.0131
  78  1.0675  0.0564  0.97  0.99  0.139  3.3833  -0.0330
  79  1.0862  0.0412  0.99  0.99  0.139  3.3868  -0.0131
  80  1.0662  0.0585  0.97  0.97  0.135  3.3870  -0.0330

Final qualitative samples:
  Q:                           What is 4 - 1?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                           What is 4 - 4?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                           What is 4 - 3?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                       What is 2 times 2?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                           What is 2 - 1?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                       What is 3 times 2?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                           What is 1 - 1?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
  Q:                       What is 1 times 3?  GT=  7  sampled='    7='  r=1.10  correct=True  fmt=True
