TinyGRPO — Step-by-step summary
============================================================
step   mean_r   std_r    acc    fmt     H       KL      loss
   1  0.0556  0.0462  0.01  0.43  4.440  0.0000  0.0000
   2  0.0775  0.0629  0.04  0.40  4.239  0.0188  -0.1174
   3  0.1044  0.0863  0.06  0.48  4.023  0.0758  -0.1196
   4  0.1256  0.1265  0.07  0.57  3.784  0.1622  -0.0823
   5  0.1263  0.0696  0.06  0.70  3.593  0.2738  -0.0247
   6  0.1544  0.0805  0.08  0.73  3.439  0.3742  0.0311
   7  0.1963  0.1148  0.11  0.84  3.318  0.4604  0.1559
   8  0.1331  0.0729  0.05  0.83  3.173  0.5311  0.0101
   9  0.1806  0.0953  0.09  0.87  3.078  0.6202  0.1625
  10  0.2225  0.0943  0.13  0.91  3.028  0.6803  0.3311
  11  0.1594  0.0744  0.07  0.91  2.964  0.7133  0.1794
  12  0.1981  0.1149  0.11  0.92  2.921  0.7550  0.2604
  13  0.1906  0.0948  0.10  0.91  2.873  0.7839  0.2559
  14  0.1969  0.0927  0.11  0.91  2.822  0.8167  0.2867
  15  0.2119  0.1241  0.12  0.93  2.785  0.8526  0.3436
  16  0.2338  0.1286  0.14  0.90  2.745  0.8782  0.3705
  17  0.2263  0.1177  0.13  0.95  2.716  0.9064  0.4176
  18  0.1619  0.0732  0.07  0.93  2.689  0.9285  0.2515
  19  0.1750  0.1108  0.08  0.94  2.641  0.9483  0.2317
  20  0.2275  0.1454  0.13  0.96  2.631  0.9840  0.4479
  21  0.1950  0.1037  0.10  0.95  2.609  0.9924  0.3677
  22  0.2169  0.1285  0.12  0.98  2.593  1.0083  0.4374
  23  0.1650  0.1002  0.07  0.96  2.573  1.0215  0.2230
  24  0.2350  0.1101  0.14  0.97  2.564  1.0367  0.5617
  25  0.1719  0.0710  0.07  0.97  2.553  1.0436  0.3692
  26  0.2425  0.1276  0.14  0.99  2.542  1.0523  0.5992
  27  0.2288  0.1232  0.13  0.97  2.526  1.0611  0.4958
  28  0.2213  0.1336  0.12  0.96  2.515  1.0751  0.5341
  29  0.1919  0.1167  0.09  0.98  2.505  1.0821  0.3387
  30  0.2163  0.1210  0.12  0.97  2.492  1.0908  0.4581
  31  0.2413  0.1508  0.14  0.97  2.477  1.1026  0.5195
  32  0.2594  0.1440  0.16  0.97  2.458  1.1151  0.5947
  33  0.1806  0.1142  0.08  0.99  2.446  1.1315  0.3579
  34  0.2281  0.0996  0.13  0.97  2.429  1.1429  0.5245
  35  0.2094  0.1373  0.11  0.97  2.415  1.1586  0.5146
  36  0.2413  0.1079  0.14  0.97  2.405  1.1695  0.7526
  37  0.2031  0.1371  0.11  0.97  2.396  1.1782  0.4191
  38  0.2175  0.1157  0.12  0.99  2.381  1.1855  0.5851
  39  0.2538  0.1117  0.16  0.97  2.363  1.1994  0.6976
  40  0.2075  0.1435  0.11  0.95  2.346  1.2163  0.4596
  41  0.2650  0.1687  0.17  0.96  2.325  1.2312  0.7423
  42  0.2788  0.1424  0.18  0.97  2.313  1.2501  0.9747
  43  0.2594  0.1374  0.16  0.97  2.287  1.2611  0.7484
  44  0.2681  0.1448  0.17  0.99  2.276  1.2847  0.8973
  45  0.2613  0.1690  0.16  0.99  2.260  1.2957  0.8112
  46  0.2681  0.1692  0.17  0.99  2.239  1.3110  0.7778
  47  0.2363  0.1307  0.14  0.99  2.222  1.3318  0.8651
  48  0.2731  0.1738  0.17  0.98  2.212  1.3475  0.9464
  49  0.2931  0.1655  0.19  0.99  2.196  1.3564  1.1214
  50  0.2669  0.1837  0.17  0.98  2.173  1.3724  0.7618
  51  0.2663  0.1783  0.17  0.97  2.164  1.3948  1.1124
  52  0.2356  0.1175  0.14  0.98  2.148  1.4026  0.9362
  53  0.2856  0.1955  0.19  0.98  2.121  1.4182  0.8770
  54  0.2738  0.1268  0.17  0.99  2.116  1.4434  1.3550
  55  0.2975  0.1735  0.20  0.97  2.099  1.4483  1.2199
  56  0.2856  0.2228  0.19  0.98  2.078  1.4648  1.0576
  57  0.2356  0.1265  0.14  0.98  2.056  1.4844  1.1285
  58  0.3044  0.1815  0.21  0.98  2.034  1.5047  1.0851
  59  0.3050  0.1630  0.21  0.99  2.022  1.5264  1.5832
  60  0.2806  0.1562  0.18  0.99  2.004  1.5376  1.4217
  61  0.2869  0.1455  0.19  0.99  2.002  1.5551  1.6965
  62  0.2419  0.1583  0.14  0.98  1.978  1.5578  1.1613
  63  0.3538  0.2988  0.26  0.97  1.968  1.5805  1.0847
  64  0.2794  0.1747  0.18  0.98  1.949  1.5896  1.4637
  65  0.2563  0.1525  0.16  1.00  1.929  1.6079  1.2883
  66  0.2181  0.1609  0.12  0.99  1.887  1.6274  0.7840
  67  0.2675  0.1788  0.17  0.99  1.865  1.6686  1.3853
  68  0.3119  0.2164  0.21  0.99  1.860  1.6903  1.8503
  69  0.3356  0.2837  0.24  0.98  1.847  1.6951  1.2422
  70  0.3056  0.1954  0.21  0.99  1.836  1.7080  1.6600
  71  0.2619  0.2059  0.16  0.99  1.814  1.7189  1.1960
  72  0.2875  0.1746  0.19  1.00  1.802  1.7407  1.6801
  73  0.2613  0.2030  0.16  0.99  1.778  1.7521  1.3439
  74  0.3181  0.2293  0.22  0.99  1.766  1.7755  1.6578
  75  0.2919  0.2178  0.19  0.98  1.760  1.7870  1.7681
  76  0.2731  0.2119  0.17  0.98  1.727  1.7925  1.1439
  77  0.2994  0.2138  0.20  0.99  1.722  1.8249  1.9226
  78  0.2913  0.1953  0.19  0.97  1.696  1.8298  1.3007
  79  0.3606  0.2300  0.26  0.98  1.708  1.8555  2.6818
  80  0.2913  0.1941  0.19  0.97  1.700  1.8433  1.5750

Final qualitative samples:
  Q:                           What is 4 - 1?  GT=  3  sampled='    4='  r=0.10  correct=False  fmt=True
  Q:                           What is 4 - 4?  GT=  0  sampled='    3='  r=0.10  correct=False  fmt=True
  Q:                           What is 4 - 3?  GT=  1  sampled='    1='  r=1.10  correct=True  fmt=True
  Q:                       What is 2 times 2?  GT=  4  sampled='    1='  r=0.10  correct=False  fmt=True
